job_id,state,zombie_head,since_id_str,query,description,last_count,last_run,analysis_state,oauth_id
265,23,10,8.54113E+17,"q=&geocode=44.0121221,-92.4801989,40km","Rochester, Minnesota",36,4/17/17 18:23,0,8
266,24,1,8.54116E+17,"q=&geocode=33.5805955,-112.23737790000001,40km","Peoria, Arizona",95,4/17/17 18:36,0,4
267,25,2,8.54114E+17,"q=&geocode=37.20895720000001,-93.2922989,40km","Springfield, Missouri",242,4/17/17 18:26,0,5
268,26,3,8.54117E+17,"q=&geocode=30.2240897,-92.0198427,40km","Lafayette, Louisiana",363,4/17/17 18:38,0,6
269,27,4,8.54116E+17,"q=&geocode=38.9822282,-94.6707917,40km","Overland Park, Kansas",1812,4/17/17 18:36,0,7
270,16,5,8.54114E+17,"q=&geocode=43.0389025,-87.9064736,40km","Milwaukee, Wisconsin",397,4/17/17 18:28,0,8
271,17,6,8.54116E+17,"q=&geocode=36.0395247,-114.9817213,40km","Henderson, Nevada",170,4/17/17 18:36,0,4
272,18,7,8.54113E+17,"q=&geocode=35.2270869,-80.8431267,40km","Charlotte, North Carolina",1091,4/17/17 18:26,0,5
273,19,8,8.54116E+17,"q=&geocode=41.8781136,-87.62979820000001,40km","Chicago, Illinois",5496,4/17/17 18:41,0,6
274,22,9,8.54118E+17,"q=&geocode=25.9017472,-97.4974838,40km","Brownsville, Texas",372,4/17/17 18:42,0,7
275,16,10,8.54114E+17,"q=&geocode=42.360082500000004,-71.0588801,40km","Boston, Massachusetts",5798,4/17/17 18:37,0,8
276,17,1,8.54116E+17,"q=&geocode=30.458282899999997,-91.1403196,40km","Baton Rouge, Louisiana",74,4/17/17 18:36,0,4
277,18,2,8.54118E+17,"q=&geocode=33.3061605,-111.8412502,40km","Chandler, Arizona",198,4/17/17 18:43,0,5
278,19,3,8.54116E+17,"q=&geocode=39.529632899999996,-119.8138027,40km","Reno, Nevada",826,4/17/17 18:36,0,6
279,20,4,8.54118E+17,"q=&geocode=33.7455731,-117.8678338,40km","Santa Ana, California",97,4/17/17 18:41,0,7
280,21,5,8.54118E+17,"q=&geocode=41.308274,-72.9278835,40km","New Haven, Connecticut",198,4/17/17 18:42,0,8
281,22,6,8.54118E+17,"q=&geocode=36.060949,-95.7974526,40km","Broken Arrow, Oklahoma",478,4/17/17 18:42,0,4
282,23,7,8.54113E+17,"q=&geocode=40.5187154,-74.4120953,40km","Edison, New Jersey",6399,4/17/17 18:32,0,5
283,24,8,8.54117E+17,"q=&geocode=42.2711311,-89.09399520000001,40km","Rockford, Illinois",320,4/17/17 18:38,0,6
